Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,192.6,2
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,204.1,2.6
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WINNEBAGO,189,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198.6,1.4
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WORTH,195,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,208.4,2.5
SURVEY,2021,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WRIGHT,197,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,193.2,2.2
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLOUD,29,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142.8,5.3
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,121.3,8
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OSBORNE,141,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,97.4,14.1
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,PHILLIPS,147,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,99.7,6.6
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,REPUBLIC,157,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.9,5.7
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,SMITH,183,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137.7,4.3
SURVEY,2021,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,WASHINGTON,201,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152.3,3.9
SURVEY,2021,YEAR,,COUNTY,LOUISIANA,22,NORTH CENTRAL,20,OUACHITA,73,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,195.5,2
SURVEY,2021,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,CARROLL,13,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,173.8,4.8
SURVEY,2021,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,FREDERICK,21,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.9,2.5
SURVEY,2021,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,HARFORD,25,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.7,6
SURVEY,2021,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,MONTGOMERY,31,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.9,4.9
SURVEY,2021,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,WASHINGTON,43,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.5,5.5
SURVEY,2021,YEAR,,COUNTY,MINNESOTA,27,NORTH CENTRAL,20,BELTRAMI,7,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,78.5,12.2
SURVEY,2021,YEAR,,COUNTY,MINNESOTA,27,NORTH CENTRAL,20,HUBBARD,57,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.5,10.8
SURVEY,2021,YEAR,,COUNTY,MINNESOTA,27,NORTH CENTRAL,20,ITASCA,61,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,90.8,8.3
SURVEY,2021,YEAR,,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,CALHOUN,13,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169.3,6
SURVEY,2021,YEAR,,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,DE SOTO,33,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189.8,4.7
SURVEY,2021,YEAR,,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,GRENADA,43,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,193.8,2
SURVEY,2021,YEAR,,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,PANOLA,107,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166.5,2.9
SURVEY,2021,YEAR,,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,TATE,137,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.2,2.1
SURVEY,2021,YEAR,,COUNTY,MISSISSIPPI,28,NORTH CENTRAL,20,YALOBUSHA,161,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.7,6.5
SURVEY,2021,YEAR,,COUNTY,MISSOURI,29,NORTH CENTRAL,20,ADAIR,1,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,170.9,2.2
SURVEY,2021,YEAR,,COUNTY,MISSOURI,29,NORTH CENTRAL,20,GRUNDY,79,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129.4,4.7
SURVEY,2021,YEAR,,COUNTY,MISSOURI,29,NORTH CENTRAL,20,LINN,115,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,126.9,9.7
SURVEY,2021,YEAR,,COUNTY,MISSOURI,29,NORTH CENTRAL,20,RANDOLPH,175,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.2,3.4
SURVEY,2021,YEAR,,COUNTY,NORTH DAKOTA,38,NORTH CENTRAL,20,BENSON,5,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,91.3,4.2
SURVEY,2021,YEAR,,COUNTY,NORTH DAKOTA,38,NORTH CENTRAL,20,BOTTINEAU,9,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,75.2,7.4
SURVEY,2021,YEAR,,COUNTY,NORTH DAKOTA,38,NORTH CENTRAL,20,MCHENRY,49,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,40.5,26.2
SURVEY,2021,YEAR,,COUNTY,NORTH DAKOTA,38,NORTH CENTRAL,20,PIERCE,69,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,37,13.6
SURVEY,2021,YEAR,,COUNTY,NORTH DAKOTA,38,NORTH CENTRAL,20,ROLETTE,79,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,48.8,10.5
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,ASHLAND,5,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178.3,3.3
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,CRAWFORD,33,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,201.2,1.5
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,ERIE,43,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.6,2.4
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,HURON,77,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,3
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,LORAIN,93,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179.3,2.2
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTTAWA,123,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182,2
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,SANDUSKY,143,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198.8,2.2
SURVEY,2021,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,WYANDOT,175,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,197.3,1.7
SURVEY,2021,YEAR,,COUNTY,OKLAHOMA,40,NORTH CENTRAL,40,ALFALFA,3,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114,2.6
SURVEY,2021,YEAR,,COUNTY,OKLAHOMA,40,NORTH CENTRAL,40,GARFIELD,47,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,106.8,2.5
SURVEY,2021,YEAR,,COUNTY,OKLAHOMA,40,NORTH CENTRAL,40,GRANT,53,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,96,9
SURVEY,2021,YEAR,,COUNTY,OKLAHOMA,40,NORTH CENTRAL,40,KAY,71,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,113.1,5
SURVEY,2021,YEAR,,COUNTY,OKLAHOMA,40,NORTH CENTRAL,40,MAJOR,93,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,209.5,4.5
SURVEY,2021,YEAR,,COUNTY,OKLAHOMA,40,NORTH CENTRAL,40,NOBLE,103,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,72.9,9.6
SURVEY,2021,YEAR,,COUNTY,PENNSYLVANIA,42,NORTH CENTRAL,20,CAMERON,23,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.8,3.7
SURVEY,2021,YEAR,,COUNTY,PENNSYLVANIA,42,NORTH CENTRAL,20,CLINTON,35,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171.7,3.3
SURVEY,2021,YEAR,,COUNTY,PENNSYLVANIA,42,NORTH CENTRAL,20,ELK,47,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,152,4.6
SURVEY,2021,YEAR,,COUNTY,PENNSYLVANIA,42,NORTH CENTRAL,20,LYCOMING,81,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160.2,2.9
SURVEY,2021,YEAR,,COUNTY,PENNSYLVANIA,42,NORTH CENTRAL,20,TIOGA,117,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142.5,7.4
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,BROWN,13,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142.8,4.9
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,CAMPBELL,21,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,81.5,14
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,EDMUNDS,45,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,90.7,5.1
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,FAULK,49,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,93.3,5.7
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,MCPHERSON,89,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,70.9,8.7
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,POTTER,107,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,104.6,8.7
SURVEY,2021,YEAR,,COUNTY,SOUTH DAKOTA,46,NORTH CENTRAL,20,WALWORTH,129,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,109.3,7
SURVEY,2021,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,CLARK,19,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162.7,4.7
SURVEY,2021,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,LINCOLN,69,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159.8,3.2
SURVEY,2021,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,MARATHON,73,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156.7,7
SURVEY,2021,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,PRICE,99,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,126.8,5.5
SURVEY,2021,YEAR,,COUNTY,WISCONSIN,55,NORTH CENTRAL,20,TAYLOR,119,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.3,4.7
SURVEY,2020,YEAR,,COUNTY,GEORGIA,13,NORTH CENTRAL,20,HALL,139,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,95.9,8.9
SURVEY,2020,YEAR,,COUNTY,GEORGIA,13,NORTH CENTRAL,20,WALTON,297,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,76.1,15.4
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,CARROLL,15,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,209.6,2
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,CASS,17,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200.4,1.7
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,ELKHART,39,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.8,2.9
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,FULTON,49,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,181,1.3
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,KOSCIUSKO,85,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172.9,3.1
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,MARSHALL,99,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,175.5,2.3
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,MIAMI,103,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180.8,2.8
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,ST. JOSEPH,141,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.7,4.9
SURVEY,2020,YEAR,,COUNTY,INDIANA,18,NORTH CENTRAL,20,WABASH,169,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,174.2,1.8
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,BUTLER,23,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,192.8,2.9
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,CERRO GORDO,33,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182.5,2.7
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FLOYD,67,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187.4,1.8
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,FRANKLIN,69,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,180.1,1.7
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HANCOCK,81,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,200,1.3
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,HUMBOLDT,91,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188.4,2.8
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,KOSSUTH,109,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,190.7,1.7
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,MITCHELL,131,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,203.3,1.8
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WINNEBAGO,189,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,207.1,1.3
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WORTH,195,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,205.7,2.4
SURVEY,2020,YEAR,,COUNTY,IOWA,19,NORTH CENTRAL,20,WRIGHT,197,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186,1.7
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLAY,27,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,159,3.4
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,CLOUD,29,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,154.9,1.9
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,JEWELL,89,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,153.7,2.5
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,MITCHELL,123,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,150.3,6.6
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OSBORNE,141,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110.1,8.8
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,OTTAWA,143,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163,2.3
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,PHILLIPS,147,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,93,6.6
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,REPUBLIC,157,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,167.4,2.7
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,ROOKS,163,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,114.8,5.4
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,SMITH,183,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,124,4.8
SURVEY,2020,YEAR,,COUNTY,KANSAS,20,NORTH CENTRAL,40,WASHINGTON,201,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156.7,3.5
SURVEY,2020,YEAR,,COUNTY,LOUISIANA,22,NORTH CENTRAL,20,OUACHITA,73,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172.3,4.2
SURVEY,2020,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,BALTIMORE,5,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,160,5.5
SURVEY,2020,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,CARROLL,13,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,135.5,4.8
SURVEY,2020,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,FREDERICK,21,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,132.3,5.4
SURVEY,2020,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,HARFORD,25,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161.6,3.5
SURVEY,2020,YEAR,,COUNTY,MARYLAND,24,NORTH CENTRAL,20,HOWARD,27,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,179.9,2.5
